,summary,Hazard,Impacts,Causes,Adaptation,Mitigation,word
dead,91.17458195482726,0.03265348234446886,0.046985185050951325,-0.13176182031955708,-0.08882605132498522,0.050372240318105006,dead
dozen dead,5.424417091774604,-0.04487854471124986,-0.0020737939315193673,-0.013946753708149013,0.03214338410582241,0.038255569224859724,dozen dead
and,1459.368005522561,0.04389560165540887,0.05104777421669119,-0.13366393960008643,-0.13721233542296252,0.06131570735331175,and
dead and,32.36947218688395,0.029688710848501408,0.03679477388730168,-0.0446689247990942,-0.09720579486357087,0.016639676103533903,dead and
nearly,25.760979371053597,-0.0005940051971511981,0.0339080097850864,-0.1168852687299153,-0.02676115718800924,0.055037493786395636,nearly
and nearly,7.9294977771129185,-0.04121034869330543,0.01779886804237536,-0.043495718258560565,0.007408897691632024,0.04868809491649372,and nearly
two,112.11723539926224,0.03644518582407795,0.04336891061129387,-0.13830154681534154,-0.0933543390345217,0.05623871420400107,two
nearly two,9.663780542226492,-0.034673023508572286,0.012746955662671054,-0.05266677590105256,-0.00011603866230775605,0.05745629289200147,nearly two
two dozen,12.341326155967636,-0.006685074516257812,0.010071931781290256,-0.07335370577958061,-0.01941072812648287,0.05567453857351684,two dozen
missing,302.1656811720138,0.008901809795319886,0.060621655466685485,-0.14789429197232015,-0.1163056423965338,0.08509353580672403,missing
dozen missing,7.933328580003795,-0.03812491387430877,0.008169917336536619,-0.04069537792045127,0.010242496429098897,0.051819067232783546,dozen missing
massive,98.72096102492951,0.0310065565523959,0.03863724206405319,-0.15270019534100152,-0.09546062206138843,0.07597218901578891,massive
landslide,2871.24327511055,0.016512776357495488,0.05840001483410104,-0.1869716444598743,-0.1275828876184278,0.10590553833639028,landslide
massiv+e landslide,73.2629298114488,0.017694449562501727,0.034832765077694054,-0.14196523659959984,-0.08507161320755215,0.08222721140001718,massiv+e landslide
crashed,17.73007974599168,-0.024746925321308202,0.024542415241034454,-0.08370978184923414,-0.028393422305272465,0.07100146938861275,crashed
landslide crashed,12.424903763178342,-0.030414563123779062,0.018004648066787386,-0.06645775471577806,-0.012445410369654577,0.06365115608561354,landslide crashed
into,67.45848001113451,0.03773997506941563,0.03307449751208472,-0.0657444047605,-0.04226695111116608,-0.007771224305154299,into
crashed into,15.265636662713517,-0.027076130226538837,0.021906797359122782,-0.07673728295369468,-0.02188428361006591,0.06808010747667381,crashed into
one,41.11734047733542,0.04897136164679921,0.08288040160733752,-0.14254737680185373,-0.04987685606416165,-0.024520141341475232,one
into one,7.538034595876215,-0.039029695720769475,0.006910330175915732,-0.0374041883131537,0.013031015999410759,0.05022411327946998,into one
...,116.05933748556578,0.011901963922706246,0.03968699564214338,-0.11356757809726124,-0.09479880764851281,0.07288135657012068,...
one ...,4.924108540281709,-0.04657755058707245,-0.0050545741826012545,-0.006166747984957609,0.038188508801694186,0.03404420322317417,one ...
... typhoon,4.772616148211821,-0.04712088424448143,-0.0060556320832862226,-0.0035541651170133623,0.040186542705786976,0.03260226380560541,... typhoon
one suv,4.883612672517673,-0.04672143052984614,-0.005317224241228057,-0.005481264228105028,0.03871428704410639,0.033667225594394966,one suv
trying,11.20155051699697,-0.030660985116352475,-0.009037948247560374,-0.045503117366317715,-0.030713536645316546,0.08844767797061862,trying
suv trying,4.73870324948745,-0.04724443291034314,-0.006286843728309041,-0.0029507657821337104,0.04064575449662936,0.03226724184967158,suv trying
navigate,4.462149462931917,-0.048278801473306904,-0.008278926336988835,0.0022475935839753043,0.044567360578129746,0.029349900905401034,navigate
trying navigate,4.462149462931917,-0.048278801473306904,-0.008278926336988835,0.0022475935839753043,0.044567360578129746,0.029349900905401034,trying navigate
narrow,4.328794628327555,0.011929007230513995,-0.029475731546627033,-0.012775297223068053,0.028399688794308053,0.00731439532197192,narrow
navigate narrow,4.245259745397126,-0.049124251549792324,-0.009989611557841935,0.0067108227657172,0.04788580878309311,0.026800515310757042,navigate narrow
mountain,24.956765266030615,-0.03450072456372948,0.0014086039816536228,0.028968258571517937,-0.01748927575750969,0.026700284772523213,mountain
narrow mountain,4.122810998195255,-0.049615106594842556,-0.011021144953260696,0.00940162973476156,0.04986523686066049,0.025243552549124713,narrow mountain
+70,3.9648247173273954,-0.050262927426171146,-0.012430500441877148,0.013077243265720816,0.052543875473883436,0.02309241374471788,+70
mountain +70,3.9648247173273954,-0.050262927426171146,-0.012430500441877148,0.013077243265720816,0.052543875473883436,0.02309241374471788,mountain +70
chars,399.21057963912455,0.06752761079162818,0.031122274318190202,-0.1089186835050037,-0.1137213126660718,0.028780225631464106,chars
+70 chars,3.923785872434508,-0.05043387262937328,-0.012812190634536652,0.014072520228854982,0.053264255227765456,0.022505089315807695,+70 chars
Sends,3.7141130757960052,-0.051324155642165775,-0.01487322568195836,0.01944523049514907,0.057117462698050195,0.019298906626426502,Sends
landslid+e sends,3.7141130757960052,-0.051324155642165775,-0.01487322568195836,0.01944523049514907,0.057117462698050195,0.019298906626426502,landslid+e sends
sends suv,3.75545003155524,-0.05114642707487214,-0.014451421822465947,0.018345902998656627,0.05633386912722688,0.019959836495826562,sends suv
Flying,4.333473543942222,-0.09407784995002899,0.01737532028362655,0.30014239150437166,-0.07953220911625818,-0.11488864898480376,Flying
suv flying,3.7850414798773433,-0.05101985807888057,-0.01415430086426633,0.01757145503864117,0.05578036960224033,0.020423929733694897,suv flying
Off,4.367694186839352,0.17512522603153202,0.008073652511606482,-0.11228974383789934,-0.0736717832432958,-0.10712922459546464,Off
flying off,3.8413325192592525,-0.05078062408586771,-0.013599868077998683,0.016126163353983786,0.05474412394858739,0.021286682596418544,flying off
Mountain,8.922101732705588,-0.14408115322210696,-0.0977117308440515,0.29574248229611877,0.09466713885344294,-0.053992139439787666,Mountain
off mountain,3.8764335703535284,-0.05063247319623701,-0.013261077351467967,0.015242909380756774,0.05410872232494916,0.021811786770372977,off mountain
Road,36.52861109109501,0.047455638177601484,0.044447884515923,-0.1648278002149279,-0.04073252951199952,0.02749436656174827,Road
mountain road,3.9648247173273954,-0.050262927426171146,-0.012430500441877148,0.013077243265720816,0.052543875473883436,0.02309241374471788,mountain road
road typhoon,4.056968453941193,-0.04988310811695478,-0.011597291269567826,0.010904340731554623,0.050963843480780854,0.02436749618326552,road typhoon
Strikes,8.241546282399174,0.010711098167289872,-0.006846490161946206,-0.057683413060847795,-0.006535791876150065,0.03694192835216198,Strikes
bualoi strikes,4.279886909513348,-0.04898722205278561,-0.009706858570103182,0.005973176745771481,0.04734041035405141,0.02722470697234528,bualoi strikes
strikes vietnam,4.439390190295604,-0.048366089377794116,-0.008451920731624417,0.002698980723935185,0.044904990915886074,0.029093946056316176,strikes vietnam
Taking,6.7818340215260795,-0.04090899740526581,0.004197619530056235,-0.03031902286814431,0.018945158398285183,0.04672172624561023,Taking
vietnam taking,4.644813158396658,-0.047590204102410404,-0.006941313789137964,-0.0012428285496066736,0.04194101690370194,0.031314890277687676,vietnam taking
place,16.58525083857093,0.04447693484332595,0.026615771697775927,-0.1301407182147762,-0.019272922846067388,0.016776738639523288,place
taking place,9.883434205915055,-0.034285108878838365,0.013241706809282995,-0.05396235039960425,-0.0012567997118331676,0.05805144498803369,taking place
Monday,76.00888873713916,-0.025581935474337358,0.05490031785208226,-0.08282845649094556,-0.08428510155206252,0.07211781503939528,Monday
place monday,7.7243412183775195,-0.0385970894149159,0.007516071593310311,-0.03898680617487189,0.011693361289911204,0.050993566131954944,place monday
monday vietnam,7.793697776568185,-0.038438882740553286,0.007735981614260986,-0.03956142245795046,0.011206196069732948,0.05127179258273737,monday vietnam
vietnam landslide,25.100720754566872,-0.019679190324987154,0.0300911051900097,-0.09849002598753893,-0.04243403844082994,0.07699776769248333,vietnam landslide
suddenly,10.81028365196722,-0.10239705694984264,0.0023295622854324276,0.20948535260926257,-0.07079989457699619,-0.009872193833124545,suddenly
landslide suddenly,9.346902752734476,-0.03525068749585226,0.012003471157402901,-0.05072052209725496,0.0015905466815944152,0.056556883469013455,landslide suddenly
happened,22.499685653724747,-0.0034731395579056397,0.017107181158538997,-0.07557838687300455,-0.04887715811358991,0.06388627487772039,happened
suddenly happened,7.933328580003795,-0.03812491387430877,0.008169917336536619,-0.04069537792045127,0.010242496429098897,0.051819067232783546,suddenly happened
National,72.46119499752552,0.008329319162694295,0.03469298725500771,-0.1321593260543789,-0.06728310935911967,0.07686443370733032,National
happened national,6.953704675075427,-0.04046342816008433,0.004853482289404516,-0.03203174234150035,0.017526703000303397,0.04757710028048266,happened national
Highway,46.85232012481422,0.05237200194787552,0.018582044674338973,-0.12332231147806713,-0.09292072145570712,0.05552506243967222,Highway
national highway,7.016476878221284,-0.02503368393398702,0.1443511311877139,-0.10521674645435948,-0.05649674217827406,-0.03278334154597878,national highway
which,65.29911871122272,0.16988313441849498,-0.020904102660442896,-0.1293824144492735,-0.13094602549545584,-0.02117951444390236,which
highway which,6.049165256481119,-0.042945088187545395,0.0010857927502483167,-0.02219442774874207,0.025576254895951386,0.042586689947822526,highway which
around,34.352828742845304,0.07244898347610754,0.024050168659776244,-0.14092818191199785,-0.08114584757895837,0.030754017195370586,around
which around,5.798811287502709,-0.043696385481436326,-0.00011578083087464841,-0.019057748614173725,0.028093238807024,0.040955536237795125,which around
the,1356.550335258223,0.08673138563929488,0.04458653021056341,-0.1489768524230874,-0.12508562756191702,0.02187811288008323,the
around the,11.502025040163618,0.20610557887474312,-0.05470728994584329,-0.08427740358351125,-0.1278683070111687,-0.0665434242061817,around the
Quy,5.728493622950824,-0.04391292479974347,-0.0004680463109382897,-0.018138202122716024,0.02882658297212431,0.040473635251930686,Quy
the quy,5.728493622950824,-0.04391292479974347,-0.0004680463109382897,-0.018138202122716024,0.02882658297212431,0.040473635251930686,the quy
Pass,5.906559186592325,-0.04336933038012004,0.0004111462787590314,-0.02043325563337074,0.026992430033807486,0.041673241755796196,Pass
quy pass,5.906559186592325,-0.04336933038012004,0.0004111462787590314,-0.02043325563337074,0.026992430033807486,0.041673241755796196,quy pass
Ward,6.370721480738699,-0.042022958662136414,0.0025197304639675215,-0.025937987658371457,0.022540888069958825,0.04450799046933349,Ward
pass werd,6.370721480738699,-0.042022958662136414,0.0025197304639675215,-0.025937987658371457,0.022540888069958825,0.04450799046933349,pass werd
located,12.280297771706651,0.08798919672914736,-0.006596806774966298,-0.11182721192728756,-0.05811569652590493,0.013710048932189127,located
werd located,4.485649938297974,-0.04818901978657849,-0.008101819828813365,0.0017854687515507367,0.04422122351713546,0.029611507660916064,werd located
located the,6.233402223565474,-0.04542450231938266,0.011431270944075712,-0.027123106437712582,0.021024132375284242,0.040639404125391715,located the
Lao,4.9665944805674895,-0.04642765444881134,-0.004782754006883412,-0.006876174082321592,0.0376432086239568,0.03443333415827921,Lao
the lao,4.9665944805674895,-0.04642765444881134,-0.004782754006883412,-0.006876174082321592,0.0376432086239568,0.03443333415827921,the lao
Cairns,5.824105710764441,-0.043619095069751125,9.294118449630547e-06,-0.01938424510107919,0.027832362079148378,0.04112623516155197,Cairns
lao cairns,5.160210347764507,-0.045757986524576,-0.00359004933201991,-0.009989127527644004,0.035236436804229346,0.036128676748407466,lao cairns
Province,7.316015241416803,-0.03956028172155711,0.006158253937406496,-0.035439539729427476,0.014683161272410568,0.04926243170346068,Province
cairns province,5.636158398794853,-0.044201060731926214,-0.0009411115720641696,-0.01690334358595133,0.029808166802237437,0.03982382962393403,cairns province
the landslide,183.9082326399697,0.0018723389393566713,0.04920955178347729,-0.1562872156173381,-0.0944550629830391,0.0966891058971871,the landslide
sent,15.179517830928033,0.12903904960757262,-0.06541865747563393,-0.1579195257293435,0.05038955433023433,-0.019457222697565474,sent
landslide sent,9.23945879038648,-0.035451607273530694,0.011742925500681583,-0.05003865642485068,0.002186410413971117,0.05624024267803453,landslide sent
upper,8.691019339209467,0.05110476951864331,-0.019454487328538602,-0.0736970876303868,-0.022198506896189987,0.024566058479476013,upper
sent upper,5.553059611963332,-0.044464126837260504,-0.0013774608023703545,-0.0157643463026418,0.030710281733117028,0.03922175604204448,sent upper
slo…,5.160210347764507,-0.045757986524576,-0.00359004933201991,-0.009989127527644004,0.035236436804229346,0.036128676748407466,slo…
upper slo…,5.160210347764507,-0.045757986524576,-0.00359004933201991,-0.009989127527644004,0.035236436804229346,0.036128676748407466,upper slo…
+1658,4.883612672517673,-0.04672143052984614,-0.005317224241228057,-0.005481264228105028,0.03871428704410639,0.033667225594394966,+1658
slo… +1658,4.883612672517673,-0.04672143052984614,-0.005317224241228057,-0.005481264228105028,0.03871428704410639,0.033667225594394966,slo… +1658
+1658 char+s,4.674888290978045,-0.04747884790348868,-0.006729332608130671,-0.001796016364321535,0.041522225341878854,0.03162400766611513,+1658 char+s
Rescuers,59.74493586153611,0.027770059163013977,0.02061197200437863,-0.09479997705895765,-0.09438942781388143,0.0644883840738581,Rescuers
India,37.775229419495844,0.009058020213738634,0.04409674146000268,-0.08815050949424669,-0.08653366819665517,0.0520699544926789,India
rescuer+s india,6.953704675075427,-0.04046342816008433,0.004853482289404516,-0.03203174234150035,0.017526703000303397,0.04757710028048266,rescuer+s india
search,119.38380379124567,-0.017800746157877106,0.05854453819072037,-0.07720562384355362,-0.1064215436619515,0.0692902422892712,search
india search,7.370523048925819,-0.03942846068787846,0.006346068613333117,-0.035930139345388086,0.014271472653114339,0.04950325351317843,india search
for,439.38276487881626,0.05545898968711827,0.04281625972951839,-0.15080164496335804,-0.11417630086301259,0.05442727946388576,for
search for,75.13532994649482,0.002187456161858799,0.04399710142415886,-0.13927064816077458,-0.08236828910418739,0.08598160749843355,search for
for missing,23.78869927348157,-0.007515183206991647,0.025506373135356104,-0.04729759110695472,-0.06398464272163254,0.05114973754874465,for missing
after,540.5023927747754,0.04406975566328077,0.04042459882530754,-0.1358980711364458,-0.12503130220580272,0.06686730444415512,after
missing after,107.24449764653927,0.0029366973127870504,0.046119190321130946,-0.1406988396098993,-0.09159708293001297,0.08884935678654404,missing after
landslides,963.9422441425999,0.02462376865882078,0.05211028892594998,-0.1828430888688831,-0.12322034293989961,0.0996141092082486,landslides
after landslides,44.67928751729144,-0.012372335031450639,0.03778533921657537,-0.11928270609938091,-0.06261424797601944,0.08505165590362282,after landslides
kill,21.049846053160724,-0.03344997122657705,0.01695947201702839,-0.025958251464124008,-0.04616442116460334,0.06279227778914281,kill
landslides kill,14.980285648331531,-0.027375792978174166,0.02156295099809941,-0.07582954438816589,-0.021042951057197088,0.06769502222124692,landslides kill
Darjeeling,19.032290906532687,-0.023674165729008944,0.02573630472125507,-0.08687752422442029,-0.03137647239363059,0.0723081965247555,Darjeeling
kill darjeeling,7.628619746084686,-0.03881794978553865,0.007207636667220937,-0.03818093111066641,0.0123752536095029,0.05060233797769707,kill darjeeling
region,33.46408254073778,-0.026590015895607864,0.011113190879234748,0.07774528966862615,-0.07651802120834972,0.009500135202731328,region
darjeeling region,8.854925196073369,-0.036192821367658945,0.010772636641837308,-0.0475000834766917,0.0043954202351698946,0.05505430914511697,darjeeling region
region rescuers,4.417333469379119,-0.04845100086284112,-0.00862097897043603,0.0031400895684230885,0.04523449123634184,0.028843411904756835,region rescuers
are,153.35688074847104,0.04911830789760023,0.027748834789029005,-0.06740328501475996,-0.12854087629162272,0.036258546555194844,are
rescuers are,17.85034860868778,0.05738018953352484,-0.027264961735134208,-0.006653472054494051,-0.07976406922609754,0.016749238542000857,rescuers are
scouring,7.17171903285327,-0.039914277205271735,0.0056506405182618355,-0.03411366631004297,0.015792853556706017,0.04860933131789653,scouring
are scouring,4.228608389476311,-0.04919042456664038,-0.010126952610877475,0.007069107728357886,0.0481502848958372,0.026594071796049862,are scouring
scouring india,6.953704675075427,-0.04046342816008433,0.004853482289404516,-0.03203174234150035,0.017526703000303397,0.04757710028048266,scouring india
tea-growing,8.822558944470286,-0.036256846187184825,0.010688131931510414,-0.04727904514237912,0.004587058486773581,0.05495051487283557,tea-growing
india tea-growing,3.9976851300419933,-0.05012683958345259,-0.012129650387309414,0.01229270570429218,0.051974554511851116,0.02355392331711111,india tea-growing
hill,9.869441523378034,-0.03277160450667897,0.058301507665502364,-0.15287438934943248,0.16836423238489795,-0.05002837810506536,hill
tea-growing hill,6.811353863848342,-0.04083165254841281,0.004312069153537861,-0.030617885612197387,0.01869815894614753,0.04687139050203125,tea-growing hill
district,23.637433060847624,0.007995815650344643,0.026034622074155057,-0.10783898026522677,-0.05190591827382326,0.06355835828239088,district
hill district,6.780846832421227,-0.04091158986098979,0.004193778954736599,-0.03030899403499402,0.01895344309261692,0.046716701038899314,hill district
district darjeeling,9.141697229912374,-0.03563672262249483,0.01150195767378854,-0.049408104519951576,0.002736486525060648,0.05594671652209617,district darjeeling
darjeeling the,3.6521981340464027,-0.051592343094911355,-0.015520239688867664,0.021131253948084978,0.058314506172410754,0.01828034385279365,darjeeling the
the search,35.501119165940985,-0.024176827306425116,0.031962794753224874,-0.06650123258998274,-0.0636495913213945,0.07301809362142883,the search
several,57.13834309045579,0.07369951250562431,0.0443826613369764,-0.07379132945000105,-0.11733766210353347,-0.012382370365173782,several
for several,11.662362734431483,0.04464223966361983,-0.020240773112381403,-0.09740271911204092,0.013065811071044695,0.02507981239083817,for several
several missing,8.593313102360398,-0.03671793307563372,0.010076176484533182,-0.04567858684752936,0.005971248873141562,0.054196407505435196,several missing
people,327.7425821151601,0.028300380469738266,0.04896698374726005,-0.13333596129766195,-0.10756873842952346,0.06419159240507404,people
missing people,28.01232951099768,-0.00919455986194832,0.028217582030158495,-0.05085773180832952,-0.06891972320781983,0.05512659419880422,missing people
NEW,10.958175106027157,-0.032520369562808724,0.015450113951577306,-0.0597503264053209,-0.006398308769479398,0.06067628637161582,NEW
people new,6.856143699984274,-0.0407149497212239,0.00448427637411158,-0.03106757943986343,0.018326092255213314,0.04709626485615328,people new
DELHI,10.905311397548475,-0.032602386054673214,0.015348928462624641,-0.05948493568212566,-0.006160974174670823,0.0605571256125919,DELHI
new delhi,10.905311397548475,-0.032602386054673214,0.015348928462624641,-0.05948493568212566,-0.006160974174670823,0.0605571256125919,new delhi
delhi new,3.4728550237573046,-0.0523821170087842,-0.017505575507076314,0.02630255255328957,0.06195089021514436,0.01511920586312288,delhi new
delhi rescuer+s,5.582154092311035,-0.04437161339194071,-0.001223516006295607,-0.01616618446949353,0.030392373304135658,0.03943446514680466,delhi rescuer+s
were,144.38439661973567,0.04517070414134949,0.044978504457494614,-0.15823400329897525,-0.10626466089642596,0.06323566324996317,were
rescuer+s were,8.696052247984627,-0.038355491039091104,0.016137663012185614,-0.04810722496085859,0.003626360723245048,0.052672420713338504,rescuer+s were
were scouring,5.46780515780034,-0.04473778498230431,-0.001836027719353179,-0.014567374147019462,0.0316549423196826,0.038586224461362256,were scouring
northeastern,10.95330375199673,-0.03579110439716126,0.012164910972202457,-0.040584774173549866,-0.009427814016180324,0.05737751637797534,northeastern
india northeastern,3.720766059857927,-0.05129547897873403,-0.014804798374511196,0.01926690042134817,0.05699051678680991,0.019406292444070716,india northeastern
northeastern tea-growing,5.427286863147358,-0.04486920329198211,-0.002057974193845387,-0.013988046430200983,0.0321109145725698,0.03827759338167806,northeastern tea-growing
darjeeling monday,6.250694370029356,-0.04236172314247929,0.0019979237251017724,-0.024575669846133477,0.02364944861492135,0.04381199720597341,darjeeling monday
monday for,10.782302002057238,-0.03279504346747167,0.01511071003423935,-0.058860212314952226,-0.005602887708537024,0.060276177196495466,monday for
those,25.68709443910311,-0.025502495976826717,0.019867850239005422,-0.02918163847852471,-0.058727927681360315,0.06108615048848013,those
for those,9.144691722193862,-0.061809566464266885,-0.014808218828105055,0.09165907450412211,-0.021672449698334043,0.02950725324144946,for those
reported,51.350596087530256,0.029665963173544627,0.06264929107288851,-0.11588163641597005,-0.1113055219557798,0.0404089359960479,reported
those reported,7.0804917435510655,-0.04014193432924135,0.005321628101732082,-0.03325435791359589,0.016509773229867474,0.04818427831508751,those reported
reported missing,12.879246727905109,-0.02982171904138077,0.018709850939389275,-0.06831218533578481,-0.01413335043099132,0.0644614723456733,reported missing
day,23.549986463056836,-0.0029142592585126594,-0.005506353424935299,-0.06889055819386242,0.03677168501499135,0.02976003922361182,day
missing day,6.3649846951549245,-0.04203900637342661,0.0024951381696140832,-0.02587378152329503,0.02259323643909417,0.04447526979827212,missing day
day after,13.906068738493182,-0.028570104148209905,0.02018060288119411,-0.07218419879222321,-0.017679180165870546,0.06613707057487364,day after
triggered,86.93941729593196,-0.009033010289698875,0.021144286907679454,-0.03872411021888042,-0.06253466821802386,0.0510312235682018,triggered
landslides triggered,15.079018721106937,-0.027271318173888448,0.021682961789522146,-0.07614632073748458,-0.02133638846672535,0.06782953458212902,landslides triggered
heavy,135.8496052535857,-0.00800163603763605,-0.07981805602236156,0.3603143117935013,-0.24548294626829278,-0.06842072885535536,heavy
triggered heavy,13.000172387443786,-0.11556718914922859,0.0439377088384772,0.17404396286419946,-0.09508062896947753,0.0021493712280468047,triggered heavy
downpour…,4.772616148211821,-0.04712088424448143,-0.0060556320832862226,-0.0035541651170133623,0.040186542705786976,0.03260226380560541,downpour…
heavy downpour…,4.772616148211821,-0.04712088424448143,-0.0060556320832862226,-0.0035541651170133623,0.040186542705786976,0.03260226380560541,heavy downpour…
+2338,4.462149462931917,-0.048278801473306904,-0.008278926336988835,0.0022475935839753043,0.044567360578129746,0.029349900905401034,+2338
downpour… +2338,4.462149462931917,-0.048278801473306904,-0.008278926336988835,0.0022475935839753043,0.044567360578129746,0.029349900905401034,downpour… +2338
+2338 char+s,4.335451306633476,-0.04876897146701201,-0.009261003720251694,0.00480997504622082,0.04647792555660998,0.027891324644767665,+2338 char+s
UPSC,4.144031493161196,-0.04952933736102667,-0.010838732748469432,0.008925829655535712,0.049516372156363495,0.02551995696617413,UPSC
Key,4.608579730972279,0.061449083737101805,-0.044671066158247494,-0.03366012558343513,0.008571424018819206,-0.007106566648534391,Key
upsc key,3.2258508562009736,-0.0534982543599618,-0.020550230589908004,0.03422530861489033,0.06742301383397571,0.01016771156768005,upsc key
key national,3.2358965664053336,-0.05345230100830051,-0.02041851137460223,0.03388277687929709,0.06718883012122308,0.010384498422641794,key national
Camel,4.216394231987775,-0.049239079286598764,-0.010228270127723841,0.007333412721377018,0.04834520721276367,0.02644160855159291,Camel
national camel,4.216394231987775,-0.049239079286598764,-0.010228270127723841,0.007333412721377018,0.04834520721276367,0.02644160855159291,national camel
Mission,4.241056864397613,-0.04914093683283043,-0.010024192285133274,0.0068010350063727135,0.04795242751429473,0.026748560203636876,Mission
